closedAt,symbol,optionType,strategy,contracts,entryFillPrice,closeFillPrice,exitReason,premiumUsd,realizedPnlUsd_asStored,grossPnlUsd_derivedFromPrices
2026-07-27T16:44:02.381145532Z,P-BTC-63800-280726,PUT,ADOPTED_ORPHAN,1,100,29,,0.1,-71.0,-0.071
2026-07-27T17:45:02.799984121Z,,CALL,Swing_CallBuy_OverextensionFadeDown_600m,1,83,90,SL,26.722261,0.007,0.007
2026-07-27T19:13:50.65356201Z,,CALL,Swing_CallBuy_OverextensionFadeDown_600m,1,52,78,strategy_TP,12.970525,0.026000000000000002,0.026
2026-07-27T19:43:49.973358846Z,P-BTC-64200-280726,PUT,ADOPTED_ORPHAN,1,86,40,near_expiry_30min,0.086,-0.046,-0.046
2026-07-27T20:20:02.642027208Z,,CALL,Swing_CallBuy_OverextensionFadeDown_600m,1,66,56,strategy_SL,6.625338,-0.01,-0.01
2026-07-28T01:34:58.5445374Z,,PUT,Intraday_PutBuy_RSIOverboughtExtreme_150m,1,113,90,strategy_SL,10.935274,-0.023,-0.023
2026-07-28T01:48:49.033249105Z,,PUT,Intraday_PutBuy_RSIOverboughtExtreme_150m,1,127,,,5.79306,0.0,
2026-07-28T02:07:50.548189852Z,,PUT,Intraday_PutBuy_RSIOverboughtExtreme_150m,1,98,86,strategy_SL,4.622134,-0.012,-0.012
2026-07-28T02:24:20.996972019Z,,CALL,Swing_CallBuy_OverextensionFadeDown_600m,1,53,1,stop_loss_50pct,19.313385,-0.052000000000000005,-0.052
2026-07-28T02:24:21.101126543Z,,CALL,Swing_CallBuy_OverextensionFadeDown_600m,1,62,0.5,stop_loss_50pct,5.872147,-0.0615,-0.0615
2026-07-28T03:03:01.647391907Z,C-BTC-65800-280726,CALL,ADOPTED_ORPHAN,2,51.666666666666664,0.5,stop_loss_50pct,0.103333,-0.10233333333333333,-0.102333
2026-07-28T03:08:01.955996605Z,,PUT,Intraday_PutBuy_RSIOverboughtExtreme_150m,1,101,72,near_expiry_30min,7.858045,-0.029,-0.029
2026-07-28T03:16:31.609352797Z,,PUT,Intraday_PutBuy_RSIOverboughtExtreme_150m,1,140,87,near_expiry_30min,10.499223,-0.053,-0.053
2026-07-28T03:19:31.648442737Z,P-BTC-62600-280726,PUT,ADOPTED_ORPHAN,2,107.75,51,stop_loss_50pct,0.2155,-0.1135,-0.1135
2026-07-28T04:15:58.664534878Z,P-BTC-62600-280726,PUT,Swing_PutBuy_OverextensionFadeUp_600m,1,38,33,strategy_SL,4.093445,-0.005,-0.005
2026-07-28T04:44:01.719248765Z,P-BTC-62600-280726,PUT,Swing_PutBuy_OverextensionFadeUp_600m,1,35,37,strategy_TRAIL_STOP,2.045543,0.002,0.002
2026-07-28T05:35:01.650004967Z,P-BTC-62800-280726,PUT,ADOPTED_ORPHAN,1,62,27,stop_loss_50pct,0.062,-0.035,-0.035
2026-07-28T06:01:22.810915044Z,P-BTC-63000-280726,PUT,Intraday_PutBuy_RSIOverboughtExtreme_150m,1,42,47,strategy_TRAIL_STOP,1.312064,0.005,0.005
2026-07-28T06:50:01.591823338Z,P-BTC-62800-280726,PUT,ADOPTED_ORPHAN,2,24.5,11,stop_loss_50pct,0.049,-0.027,-0.027
2026-07-28T06:50:31.844275149Z,P-BTC-63000-280726,PUT,ADOPTED_ORPHAN,1,51,20.2,stop_loss_50pct,0.051,-0.0308,-0.0308
2026-07-28T16:19:52.174455471Z,P-BTC-63000-290726,PUT,Swing_PutBuy_OverextensionFadeUp_600m,1,92,68,strategy_SL,32.116534,-0.024,-0.024
2026-07-28T16:42:14.228169525Z,P-BTC-63000-290726,PUT,Swing_PutBuy_OverextensionFadeUp_600m,1,93,66,strategy_SL,24.30276,-0.027,-0.027
2026-07-28T16:50:36.30684613Z,P-BTC-62500-310726,PUT,ADOPTED_ORPHAN,2,639.5,311,stop_loss_50pct,1.279,-0.657,-0.657
2026-07-29T14:12:20.65223379Z,P-BTC-63000-290726,PUT,Swing_PutBuy_OverextensionFadeUp_600m,1,94,81.6519392,expired,21.740165,-0.0123480608,-0.012348
