Strategy,OOS_trades,OOS_win_rate_pct,OOS_sharpe,OOS_profit_factor,OOS_total_return_pct,Qualified
EMA8_EMA50_CMF_Bear_Short,7,71.43,2.3,95.99,0.43,no
BB_Upper_Rejection_Short,3,66.67,1.92,60.69,0.09,no
StochRSI_CMF_Bear_Short,21,85.71,3.25,4.6,0.76,no
WMA13_WMA34_CMF_Deep_Bear_Short,9,88.89,2.25,4.56,0.64,no
EMA9_Cross_WMA34_Fisher_ADX_Long,17,88.24,3.02,3.96,0.99,no
EMA8_Cross_WMA21_EFI_ADX_Short,6,83.33,1.72,3.85,0.47,no
WMA13_CMF_Bear_Short,8,87.5,1.87,3.81,0.57,no
StochRSI_KD_OB_Short,22,86.36,3.07,3.79,0.59,no
StochRSI_EMA_MACD_Bear_Short,24,83.33,2.13,3.27,1.29,no
StochRSI_50_Cross_Bear_Short,10,90,1.08,3.18,0.4,no
Lower_High_CMF_Bear_Short,90,90,4.14,3.04,3.31,YES
EMA9_EFI_Bear_Short,13,84.62,1.81,2.86,0.65,no
OBV_Bear_CMF_Short,64,92.19,2.99,2.71,2.42,YES
EMA8_Cross_WMA34_CMF_ADX_Long,17,88.24,1.86,2.6,0.68,no
StochRSI_4h_Overbought_Short,13,84.62,1.54,2.39,0.28,no
BB_Squeeze_Breakout_Short,12,83.33,1.5,2.39,0.64,no
Donchian_ADX_CMF_Bear_Short,34,85.29,1.9,2.32,1.17,YES
ADX_Strong_Trend_Bear_Short,26,84.62,2,2.29,1.08,no
Price_EMA21_Breakdown_Short,8,87.5,1.03,2.25,0.4,no
Three_Bear_Candles_Short,85,89.41,2.65,2.16,2.37,YES
MACD_Line_Zero_Cross_Short,10,80,1.02,2.09,0.4,no
Three_Bear_Candles_ADX_Short,80,88.75,2.49,2.08,2.21,YES
CMF_Cross_Bullish_Long,59,88.14,1.77,1.96,1.11,YES
WMA9_EMA21_Fisher_ADX_Long,20,85,1.46,1.96,0.69,no
CMF_Extreme_Bear_Short,52,86.54,1.78,1.9,1.39,YES
BB_Squeeze_EFI_ADX_Short,84,85.71,2.15,1.81,2.12,YES
WMA9_Cross_EMA13_CMF_ADX_Short,6,66.67,0.66,1.77,0.27,no
Chandelier_Bear_Break_Short,23,82.61,1.24,1.75,0.69,no
EMA21_Cross_WMA55_CMF_ADX_Long,10,80,0.66,1.7,0.18,no
OBV_Slope_EFI_ADX_Short,108,86.11,1.99,1.65,2.06,YES
Keltner_CMF_Bear_Short,54,85.19,1.46,1.65,1.27,YES
OBV_Slope_Bear_Short,21,90.48,0.77,1.65,0.43,no
Lower_High_Confirm_Short,120,83.33,2.1,1.6,2.23,YES
Two_Bar_Bear_Reversal_Short,86,82.56,1.69,1.56,1.83,YES
HMA_CMF_Bear_Short,136,83.09,2.01,1.54,2.78,YES
Fisher_Zero_CMF_ADX_Short,128,82.81,1.84,1.51,2.39,YES
Donchian_CMF_Bear_Short,95,84.21,1.55,1.51,1.72,YES
EMA9_ADX_Strong_Bear_Short,15,80,0.68,1.46,0.41,no
HMA_Slope_EMA_MACD_Bear_Short,97,80.41,1.58,1.45,1.81,YES
Bearish_Engulf_EFI_ADX_Short,39,87.18,0.74,1.44,0.52,YES
Bearish_Engulfing_Short,39,87.18,0.74,1.44,0.52,YES
EMA_MACD_CMF_Bull_Long,31,80.65,0.78,1.44,0.35,YES
WMA5_Cross_WMA21_EFI_ADX_Short,12,75,0.54,1.44,0.23,no
Close_Low_Range_ADX_Short,130,85.38,1.59,1.43,2.13,YES
Fisher_Deep_Bear_Short,120,83.33,1.6,1.42,2,YES
EFI_Cross_Zero_ADX_CMF_Short,11,81.82,0.52,1.41,0.27,no
WMA9_CMF_Deep_EFI_Short,4,75,0.29,1.4,0.08,no
Close_Low_Range_Bear_Short,107,85.05,1.25,1.36,1.59,YES
WMA_Fisher_Bear_Short,15,73.33,0.54,1.34,0.25,no
MTF_RSI_Cross_Confirm_Short,5,80,0.28,1.34,0.06,no
BB_Width_Expand_Bear_Short,135,80.74,1.32,1.32,1.76,YES
WMA13_WMA34_EFI_Bear_Short,22,72.73,0.58,1.29,0.4,no
EMA9_Cross_EMA21_Short,19,73.68,0.54,1.29,0.29,no
WMA9_Cross_WMA21_MACD_ADX_Short,10,80,0.37,1.29,0.11,no
ADX_Surge_Breakout_Long,31,70.97,0.6,1.28,0.35,YES
Two_Bar_Bear_Reversal_ADX_Short,88,80.68,0.88,1.26,0.98,YES
HMA_ADX_CMF_Bear_Short,112,80.36,0.95,1.25,1.27,YES
Bearish_Momentum_EFI_ADX_Short,70,80,0.59,1.18,0.65,no
MACD_ADX_CMF_Bear_Short,38,78.95,0.34,1.16,0.21,no
EFI_Bullish_Cross_Long,40,75,0.3,1.14,0.23,no
1h_MACD_Hist_Flip_CMF_Short,45,73.33,0.2,1.07,0.18,no
Donchian_Breakdown_Short,74,79.73,0.22,1.06,0.25,no
Keltner_Lower_Break_Short,62,79.03,0.18,1.06,0.18,no
Keltner_Lower_EFI_ADX_Short,62,79.03,0.18,1.06,0.18,no
BB_Mid_ADX_CMF_Bear_V2_Short,39,84.62,0.12,1.06,0.1,no
Big_Bear_Candle_Short,36,75,0.11,1.04,0.11,no
WMA13_WMA34_Bear_Cross_Short,24,66.67,0,1,0,no
WMA_ADX_Strong_Bear_Short,2,50,0,0.99,0,no
WMA9_EFI_ADX_Bear_Short,2,50,0,0.99,0,no
EMA8_Cross_EFI_ADX_Short,19,73.68,-0.06,0.97,-0.04,no
PSAR_4h_Flip_Long,148,74.32,-0.21,0.95,-0.27,no
Big_Bear_Candle_ADX_Short,35,74.29,-0.14,0.95,-0.15,no
Coppock_EFI_Bear_Short,24,79.17,-0.12,0.94,-0.08,no
Keltner_ADX_CMF_Bear_Short,41,78.05,-0.16,0.93,-0.14,no
1h_Fisher_CMF_Confirm_Short,73,68.49,-0.35,0.91,-0.39,no
WR_Mid_EFI_ADX_Short,15,66.67,-0.17,0.91,-0.13,no
1h_Fisher_EFI_Bear_Short,75,69.33,-0.38,0.9,-0.46,no
Aroon_Crossover_Bull_Long,11,63.64,-0.2,0.88,-0.09,no
Close_High_Range_ADX_Long,170,77.06,-0.64,0.87,-1.05,no
KST_Below_Zero_Bear_Short,27,66.67,-0.35,0.86,-0.27,no
HTF_Aligned_Pullback_Long,14,78.57,-0.19,0.86,-0.09,no
WMA13_Cross_EMA55_CMF_ADX_Short,9,66.67,-0.2,0.86,-0.11,no
WMA5_Cross_EMA13_EFI_ADX_Short,9,55.56,-0.22,0.85,-0.09,no
RSI55_CMF_ADX_Bear_V2_Short,6,66.67,-0.18,0.85,-0.06,no
WMA13_WMA34_ADX_Bear_Short,20,65,-0.37,0.84,-0.26,no
EMA9_Cross_EFI_ADX_Long,7,71.43,-0.2,0.83,-0.08,no
ADX_Surge_Breakout_Short,52,69.23,-0.78,0.79,-0.73,no
HMA_Slope_EMA_MACD_Bull_Long,98,70.41,-0.93,0.78,-1.01,no
EMA8_Cross_EMA50_Short,12,58.33,-0.37,0.77,-0.17,no
WMA_CMF_Bear_Short,6,66.67,-0.27,0.77,-0.08,no
Three_Bull_Candles_Long,99,73.74,-1.08,0.74,-1.09,no
Squeeze_Fired_Long,27,62.96,-0.7,0.74,-0.42,no
Coppock_ADX_Bear_Short,17,70.59,-0.54,0.74,-0.34,no
EMA21_EMA50_Death_Cross_Short,14,71.43,-0.59,0.68,-0.33,no
